(Do Not Modify) Advices,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Advice Code,Created On,Advice Comments,Advice Reference,Advice Title,Background,Background Graphic,Created By,Created By (Delegate),Date Timestamp,Directive Code,Effective Date,Effective Date Format,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Status,Status Reason,Terms Definitions,Terms Definitions Graphic
7bb5019e-73b7-ea11-a812-000d3a5308e0,lGYNHVHjEQr8ptyF0ehVU5LC5v+wsqiPHiBXPBOGaQKrVBkgVQh3NwYZHQiG4IC8CXIw9BwlGhEg8ahnSUUILA==,6/26/2020 11:24,ADVICE-40-004-01,6/26/2020 11:41,,FSC-STD-40-004 V2-1 Section 12 and FSC-STD-40-004 V3-0 Section 12,FSC Certified COC Contractors,"This directive deals with the implications for FSC certified CoC organizations, either functioning as or making use of FSC certified CoC contractors. In particular, clarification is provided on the following issues:
  - under which conditions contract work for an FSC certified product can be provided for non-FSC certified CoC contracting organizations;
  - what the benefits and implications are for FSC certified CoC contracting organizations that use FSC certified CoC contractors.
The FSC Standard for Chain of Custody Certification (FSC-STD-40-004) requires organizations that take legal ownership of materials and want to maintain or change the FSC claim associated with the output product to have FSC Chain of Custody certification. The standard further specifies the requirements to follow for FSC certified CoC contracting organizations in order to use non-FSC certified CoC contractors for this purpose. 
The questions, however, what the implications are for an FSC certified CoC contracting organization to use FSC certified CoC contractors, and whether contract work for an FSC certified product could be provided also for non-FSC certified CoC contracting organizations were not consistently dealt with in practice. In particular the latter question required some fundamental judgement, as some certification bodies considered contract work for non-FSC certified CoC contracting organizations to be generally not in line with standard requirements, while others found outsourcing arrangements where the non-FSC certified CoC contracting organization would not obtain physical possession of the input material to be acceptable under certain additional stipulations.
This Advice Note follows the latter approach based on the judgement that there would not be an increased risk associated with such outsourcing arrangements for non-FSC certified products to be labelled and sold as FSC certified, provided that additional safeguards were in place. The Advice Note stipulates these safeguards and aims at providing the relevant answers to the questions raised above. ",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,9-Feb-10,2/9/2010,Vishal Mohan,,6/26/2020 16:54,Vishal Mohan,,Active,Active,"The terms defined in FSC-STD-20-011 and FSC-STD-40-004 apply. The following terms are introduced by this Advice Note and are put in italics throughout the document:
Contracting organization: Individual, company or other legal entity contracting a contractor for the production or processing of an FSC certified product under an outsourcing agreement.
NOTE: The contracting organization may or may not be an FSC certified CoC organization. Part C of this Advice Note is structured according to the FSC certified status of the contracting organization (see Part C, Table 1).
Contractor: Individual, company or other legal entity contracted by a contracting organization for the production or processing of an FSC certified product under an outsourcing agreement. 
NOTE:	In the context of this Advice Note, the contractor is an FSC certified organization (see Part C, Table 1).
FSC certified CoC organization: Individual, company or other legal entity holding a valid FSC Chain of Custody certificate which confirms that appropriate procedures are in place for the production, processing or trade of a specific product – or that FSC certified CoC contractors are used for this purpose – that allow the organization to sell, provide or promote the product with FSC claims.
Outsourcing agreement: A written agreement between a contracting organization and a contractor about the service of producing or processing an FSC certified product or material, where the contracting organization retains control of and responsibility for the purchasing of input material from the (billing) supplier and for the sale of the output product to the customer. Input material may be shipped from the contracting organization or from the (delivering) supplier to the contractor and the output product may be returned or shipped from the contractor to the contracting organization or to the contracting organization’s customer.
Supplier (billing): FSC certified CoC organization selling material with FSC claims to the contracting organization.
Supplier (delivering): FSC certified CoC organization delivering the material to the contractor and selling the material with FSC claims to the billing supplier or to the contracting organization.",0
7db5019e-73b7-ea11-a812-000d3a5308e0,mJAOCT/YM+kL3qjQy6710dA2lpaCBRT+xC7zbEfBeoUH6Z+KScAd5pzss680jEZvZuMK6SDjFaRDIBG+mo/npg==,6/26/2020 11:24,ADVICE-40-004-02,6/26/2020 11:41,,FSC-STD-40-004 V2-0 Clause 10.1.1,"After the certificate issuance, when the company products will be eligible to carry the FSC logo? ","A forest product manufacture is often a continuous process.  At the time that a certificate is issued there are likely to be products undergoing manufacture, products that have been manufactured but not yet shipped, and products that have been shipped but not yet put on sale by the buyer.  Which of these products are eligible to carry the FSC Logo?",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,Mar-05,3/1/2005,Vishal Mohan,,6/26/2020 16:54,Vishal Mohan,,Active,Active,,0
7fb5019e-73b7-ea11-a812-000d3a5308e0,19oSlt9D5gTbVYZ0yU1en9mrXxhzVgMdEHLhX527MP66L2wE2cNZPv/YiUNtqOsCSwmTOdkNdODRr+LSjX63kw==,6/26/2020 11:25,ADVICE-40-004-03,6/26/2020 11:41,,FSC-STD-40-004 V2-0 Clauses 11.2.1a and 11.2.2,Reduced labelling threshold of 50% for chip and fibre based products,"When the new Chain of Custody standard “FSC-STD-40-004 (Version 2): FSC Standard for Chain of Custody Certification” was approved in November 2007, the following previously established exemption was maintained by means of an Advice Note: A labeling threshold of 50% for chip and fibre based products under a percentage or transfer system.  
This Advice was amended twice. The first amendment occurred in December 2015 to incorporate the following decisions by the FSC Board and the FSC Director General: 
• An extension of the deadline of this Advice until FSC-STD-40-004 V3-0 becomes effective, and 
• A phase out rule for output stocks after the effective date of FSC-STD-40-004 V3-0. 
The second amendment occurred in 08 September 2017 to incorporate the effective date of FSC-STD-40-004 V3-0. ",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,14-Feb-11,2/14/2011,Vishal Mohan,,6/26/2020 16:55,Vishal Mohan,,Active,Active,"Registered product: Chip and fibre product or product group registered by the organization prior to 01 April 2011 as being commercially produced based on a labelling threshold of 50%.
Output stock: products that had left the production process. ",0
81b5019e-73b7-ea11-a812-000d3a5308e0,JtTsvNK4f2sXXJAhS0Pxc6LeQ/7BTyrD3c4gYxdSPL6nky7134Vdo/4kjPeLGiROctZRChGMewMsi8yloWokuw==,6/26/2020 6:11,ADVICE-40-004-04,6/26/2020 11:41,Withdrawn,,Use of uncontrolled co-products,,0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,,,Vishal Mohan,,6/26/2020 11:41,Vishal Mohan,,Active,Active,,0
83b5019e-73b7-ea11-a812-000d3a5308e0,xlAGkilB7qx//d9zyXj3uGVdrzjuXpvEMl23om8aceNJXUN6m71LyTX1PO7U2pz2wqF/E4Nbl15Fq7UdvV3W8A==,6/26/2020 11:25,ADVICE-40-004-05,6/26/2020 11:41,,FSC-STD-40-004 V2-0 Clause 6.1,Identification of FSC claims on sales and delivery documents,"The FSC Chain of Custody standard requires certificate holders to identify FSC certified products on sales and delivery documentation in order to pass on the FSC claim of certified products to subsequent customers. However, several organizations have limitations with providing complete FSC claims that are required due to space constraints in these documents.  ",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,14-Feb-11,2/14/2011,Vishal Mohan,,6/26/2020 16:55,Vishal Mohan,,Active,Active,N/A,0
85b5019e-73b7-ea11-a812-000d3a5308e0,YmGwSRYbNnvVDtluQCvvofO9oNXkoxi6XnYX3IsenWv+BDJ24XCSKPrPYW6c8M1EB01g5JEqDGk+wnS4vhTvGw==,6/26/2020 11:25,ADVICE-40-004-06,6/26/2020 11:41,,FSC-STD-50-001 V1-2 Clause 2.4 and FSC-STD-40-004 V3-0 Box 2.,Which components of a product need to be certified?,"Clause 2.4 of FSC-STD-50-001 V1-2 Requirements for the use of FSC Trademarks by Certificate Holders establishes that “The FSC label shall not be used to make a partial claim about a product. Where permanent parts of the product (other than any packaging materials or non-forest based materials) are not covered by FSC certification, the FSC label shall not be used.” 
FSC receives repeated inquiries from different stakeholders in relation to which components of a product are considered to be “permanent“, due to the fact that these products can contain several forest-based elements that are included in the product with secondary functions such as transportation, protection, etc.  This advice aims to clarify which of these components are required to be certified and provides examples of practical implementation. ",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,30-Mar-11,3/30/2011,Vishal Mohan,,6/26/2020 16:55,Vishal Mohan,,Active,Active,"Inserts: Enclosed advertising in a periodical (e.g. newspaper, magazine) that is distributed through the carrier publication and is a clearly distinguishable element in relation to the other pages of the periodical (e.g. different paper, size, etc.). For example, inserts may take the form of return cards, coupons, recipe booklets, forms, booklets, brochures, gift premiums, reply envelopes, etc.",0
87b5019e-73b7-ea11-a812-000d3a5308e0,IsMA8VsSRwHAfURPDPIhI6lGMMFuZuGzzGqUcKwKkNG8701X+wj5AzUpFkZFEu171QJHRxNtMyn/DeKBXgvJCg==,6/26/2020 11:25,ADVICE-40-004-07,6/26/2020 11:41,,FSC-STD-40-004 V2-1 Scope and Clause 6.1.1 and FSC-STD-40-004 V3-0 Clause 5.1,Sale of FSC certified products through non-FSC certified auction entities,"This advice aims to provide clarification on whether or not auction houses, log markets or other related entities need to be certified.  If so, define the required procedures in order to ensure the traceability of the products traded by these organizations. 
FSC-STD-40-004 establishes that Chain of Custody certification is required for all organizations that want to 
 produce and sell FSC-certified materials or products; or 
 produce and promote FSC-certified products; or 
 trade materials or products with FSC claims. 
NOTE: Chain of Custody certification is not required for organizations that do not gain legal ownership of such materials or products but simply arrange for buyer and seller: 
a) to make a deal without taking physical possession (often called an ‘agent’); or 
b) to transport the materials or products.",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,30-Mar-11,3/30/2011,Vishal Mohan,,6/26/2020 16:55,Vishal Mohan,,Active,Active,"Auction: A process of buying and selling goods or services by offering them up for bid, taking bids, and then selling to the winning (generally highest) bidder. The auction house, auctioneer, log market, etc., managing the auction does not gain legal ownership of the goods/services for sale but does collect the funds due and issues the sales invoice to the winning bidder.",0
89b5019e-73b7-ea11-a812-000d3a5308e0,m4XpnIYUxWyxP1OtKukmlAYzxlnTI9VPXB7e6J3RVMgQk8dcxrUArCf5e3WWr5TiclMpoRor0mohd1BbP4/6pg==,6/26/2020 11:25,ADVICE-40-004-08,6/26/2020 11:41,,FSC-STD-40-004 V2-1 Clauses 1.2.1 and 10.1.1,Non-conforming product,"Implementation of Chain of Custody procedures and control systems as required by FSC-STD-40-004 aim to ensure that non-conforming products do not occur. This advice introduces an additional safeguard to prevent non-certified products from being delivered as certified, by requiring that procedures are put in place to handle non-conforming products. 
Specific requirements are included to apply to cases where non-conforming products are detected after they have been supplied to a customer.  
The action taken to address the issue of non-conforming product is targeted to the organization that is responsible for the nonconformity, but it may also affect onward buyers and sellers e.g. in the event that a product is re-called. ",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,1-Nov-12,11/1/2012,Vishal Mohan,,6/26/2020 16:55,Vishal Mohan,,Active,Active,"Non-conforming product: Product or material for which an organization is unable to demonstrate that it complies with FSC eligibility requirements for making claims and/ or for using the FSC on-product labels.
Small COC enterprises: Organizations with: 
i. No more than 15 employees (full time equivalent), or 
ii. No more than 25 employees (full time equivalent) and a maximum total annual turnover of US$ 1,000,000. ",0
8bb5019e-73b7-ea11-a812-000d3a5308e0,BdrFHDRasS1MxuwFpBqjIfzVE+RZR9psAYHMv/tJJKrzxftUSHRArtTGCwthXEd1R5lTFeMwgoR+FDWD7F6WmA==,6/26/2020 11:26,ADVICE-40-004-09,6/26/2020 11:41,,FSC-STD-40-004 V2-1 Clause 6.1.3 and Section 13   ,Minor components ,"Minor components were first introduced to the FSC system in 2007. They are forest based materials (timber and non-timber forest materials) that can be exempted from the requirements for Chain of Custody control, according to the requirements of FSC-STD-40-004 V2-1. 
In early 2012, following a mandate of the FSC Board of Directors, FSC initiated an updating process of its standards to ensure harmonization with timber legality legislations, such as the EU Timber Regulation (EUTR), US Lacey Act, FLEGT and the Australian Illegal Logging Prohibition Act. As a consequence of this process, FSC identified the need to phase out the exemption for minor components. ",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,1-Nov-12,11/1/2012,Vishal Mohan,,6/26/2020 16:56,Vishal Mohan,,Active,Active,,0
8db5019e-73b7-ea11-a812-000d3a5308e0,iDv9dDnShs9QN19NSns8qF7ssXS5G2qNtDjhgYBQlaDQhYLmCuyyTn9rzXu7FJgonsqyMYfh85Rv03ZZSDhr5w==,6/26/2020 11:26,ADVICE-40-004-10,6/26/2020 11:41,,FSC-STD-40-004 V2-1 Clauses 1.4 and 2.1.1,Access to information required by timber legality legislations,"In early 2012, following a mandate of the FSC Board of Directors, FSC initiated an updating process of its standards to ensure harmonization with the EU Timber Regulation (EUTR) and other timber legality legislations such as the US Lacey Act, FLEGT and the Australian Illegal Logging Prohibition Act. This process includes adjustments in the FSC COC requirements to ensure that FSC certified products comply with legally required information regarding species, origin of timber and timber products and compliance with trade and custom laws which include, but may not be restricted to: 
• Bans, quotas and other restrictions on the export of timber products (e.g. bans on the export of unprocessed logs or rough-sawn lumber)  
• Requirements for export licences for timber and timber products  
• Official authorisation that entities exporting timber and timber products may require  
• Taxes and duties applying to timber product exports ",0,Vishal Mohan,,6/26/2020,FSC-DIR-40-004,1-Nov-12,11/1/2012,Vishal Mohan,,6/26/2020 16:56,Vishal Mohan,,Active,Active,,0
