(Do Not Modify) COC Scenarios,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Scenario Code,Created On,Created By,Created By (Delegate),Date Timestamp,Filter Code,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Scenario Comments,Scenario Description,Status,Status Reason
b77b31f7-92b7-ea11-a812-000d3a530627,vHx8NadcQHWuGHYbJCqbW/eNMp40WmldwjhtJ0+oYE2mqfQ7Pq5uqb04Jh4Jhm6KilcHRK8bbwKpEVZ1//UMkQ==,6/26/2020 9:55,1,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,1,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Primary producer,Active,Active
c97b31f7-92b7-ea11-a812-000d3a530627,hFZZIAeVuGl39y17m1QlRWFVQApvHXCYVOsB/MI8tSjGxByVYFXUTqnoINSVjplG2GVkWgRIqry8eP50Z2rYEw==,6/26/2020 9:55,10,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,3,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Sourcing recycled material (pre and/or post consumer),Active,Active
cb7b31f7-92b7-ea11-a812-000d3a530627,6R7kAp29yDmoUdEe+QJTIVWy0gJF0hWV5MgeHqCCdLzpO9bipX9foBOgIeH75lA2AHtwEaVwY3nyLHlriLg2oQ==,6/26/2020 9:55,11,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,3,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Group/multi-site certification,Active,Active
cd7b31f7-92b7-ea11-a812-000d3a530627,7i5u3uhqu+CXO/6jaPL9w+Tqx48QIjHU3+ZgihVsMfJ+agJqqHNT5AD2h5L4NGqzTLk/NjQ2d7RRz6RCNq8O4w==,6/26/2020 9:55,12,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,3,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Outsourcing,Active,Active
cf7b31f7-92b7-ea11-a812-000d3a530627,qD+xE8azhMKevS0wCer8R2jTz1C8G2XuInIPszR/FpQcZSpo+G/annz3o2v4vy40DYgivJlyViuxULtTpBWCGA==,6/26/2020 9:55,13,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,3,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Labelling products,Active,Active
b97b31f7-92b7-ea11-a812-000d3a530627,YgTxzAhkr6IY43BM7IEWMblzux45wJPqSIBjViwuT0l0ivQFe4IVRrUvoFeylw1wJauAUr20Oq2l6NaImsjOqw==,6/26/2020 9:55,2,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,1,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Secondary producer/processor,Active,Active
bb7b31f7-92b7-ea11-a812-000d3a530627,6YwiHgK5Sa1vvJ+NBztHwhzwdC7NUoctE57PAaPMJY80Fy/U5/9K3wal3Q/0YwGKNmFbBJQKXXPpD20Rb2n0zg==,6/26/2020 9:55,3,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,1,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Trader with physical possession,Active,Active
bd7b31f7-92b7-ea11-a812-000d3a530627,53AR81BqP0X1wal7ffY3dPd/oshv9y83hSPZSOnn3TSaFqKvuOznqsly1Lf+0k7+0n31wdM3v3VLWgqLF8iz1Q==,6/26/2020 9:55,4,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,1,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Trader without physical possession,Active,Active
bf7b31f7-92b7-ea11-a812-000d3a530627,db4wyIgAB3TTOIVVmUvY9ONOPoZb4qgPW0cJRrpJPT0zWcImHWpFP81WxG365d/1LQkrXZHL6MHoTgcuuaLc8w==,6/26/2020 9:55,5,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,2,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Transfer system (all material is FSC certified/no segregation),Active,Active
c17b31f7-92b7-ea11-a812-000d3a530627,aUDB3yCnM3LOy21bbE/m/8H+UP7lR/YINGAS68CHXqUaIAn41dueuNAXD0v839jSwNrVrbkzL7veNp/dEdrxrQ==,6/26/2020 9:55,6,6/26/2020 15:25,Vishal Mohan,,6/26/2020 21:14,2,Vishal Mohan,,6/26/2020 15:25,Vishal Mohan,,,Transfer system (with segregation),Active,Active
