(Do Not Modify) Standards Elements,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Created By,Created By (Delegate),Date timestamp,Display Order,Element comments,Element Content,Element Page,Element Path,Element Reference,General requirement type,Is_Requirement,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Standard Id,Standard Version,Status,Status Reason
86bd4b87-80b7-ea11-a812-000d3a530d85,Yhqd00q2UlOS/Ezncm9bA337KZstb2TkUGg1iQa84QJ1LXJBpEw7Sv2fAMUutRWqEd7BmAcP7KSOUV2gkqzR4g==,6/26/2020 7:43,1,6/26/2020 13:13,Vishal Mohan,,6/26/2020,1,,Chain of Custody: FSC-STD-40-004 V3-0 EN,1,,Title,,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
98bd4b87-80b7-ea11-a812-000d3a530d85,wdxZS0WDGlTHF4a1AeBD5EASAdQrvPgjlcd39j6qWxxpAEgC8JqFq5CTDGfkF1MI7icmA0xyKhbdcfOA64HGFQ==,6/26/2020 7:43,10,6/26/2020 13:13,Vishal Mohan,,6/26/2020,10,,b) label products as FSC certified;,5,,Box 1,4,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
4cbe4b87-80b7-ea11-a812-000d3a530d85,t6kySe1DZrasjt8IIqr557fqY/3xiu0jr0/ndVZaAVCDBR80ee4nbtlNMMcpBRJd4DfFJkVGzDG6kcvaKyOxGg==,6/26/2020 7:43,100,6/26/2020 13:13,Vishal Mohan,,6/26/2020,100,,FSC-STD-40-004_TableC_EN.png,12,https://onefsc.sharepoint.com/sites/Uli/AppData/Local/Microsoft/Windows/INetCache/Content.Outlook/L3HJCRWT/FSC-STD-40-004_TableC_EN.png ,Table C ,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
4ebe4b87-80b7-ea11-a812-000d3a530d85,s/TCLkeBkWIR0nYAKMo7YMypn4Zu0TTG5GoknqyBjcfw7fBIx2SCdJWdH2k/3GCwtwniASz3U9wh9B0NP6PdXg==,6/26/2020 7:43,101,6/26/2020 13:13,Vishal Mohan,,6/26/2020,101,,"5.2) Organizations at the end of the supply chain selling FSC finished and labelled products (e.g. retailers, publishers) may omit the percentage or credit information in sales documentation (e.g. using “FSC Mix” claim only instead of “FSC Mix 70%” or “FS",12,,5.2,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
50be4b87-80b7-ea11-a812-000d3a530d85,yhNWxYxyVePXoWFGv/LMIDPcsFpdH5tzXekmNd2sN2vCpSmEIj5AEVcYTeadDDLNZbLRlSMhbybRc+tSioAZXQ==,6/26/2020 7:43,102,6/26/2020 13:13,Vishal Mohan,,6/26/2020,102,,"5.3) If the sales documentation issued by the organization is not included with the shipment of the product and this information is relevant for the customer to identify the product as being FSC certified, the related delivery documentation shall include ",12,,5.3,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
52be4b87-80b7-ea11-a812-000d3a530d85,Narur6YF+FqDaqk/2Q91gX3jMpeJPPkb8hf7qjKJPZmTo39NpZZAKmnBvs3J69VJmekhy5sq+YmwRDmyJJGG4Q==,6/26/2020 7:43,103,6/26/2020 13:13,Vishal Mohan,,6/26/2020,103,,"5.4) The organization shall ensure that products sold with an FSC 100%, FSC Mix, or FSC Recycled claim on sales documentation do not carry any labels from other forestry certification schemes. ",12,,5.4,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
54be4b87-80b7-ea11-a812-000d3a530d85,ScC1zT6309kGpiDoDpOeB8RFWuOgGGZOgP6QoPxEsSykNMVX3a56qZEz/5f7pnrxMjHCSP3DwkG4Y2xkcfVkRQ==,6/26/2020 7:43,104,6/26/2020 13:13,Vishal Mohan,,6/26/2020,104,,"NOTE: FSC-certified product may simultaneously carry the FSC claim and the claim of other forestry certification schemes on sales and delivery documents, even if the product is FSC labelled.",12,,NOTE below 5.4,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
56be4b87-80b7-ea11-a812-000d3a530d85,08wpYXlEJ22ubg+/kquxBe7vOl76RqmaByRa7yQt/DvyM89ESDCWZAoDZfnKgAqssWnE9OUAfsBae5CiJ7GoAw==,6/26/2020 7:43,105,6/26/2020 13:13,Vishal Mohan,,6/26/2020,105,,5.5) Organizations may identify products exclusively made of input materials from small or community producers by adding the following claim to sales documents: “From small or community forest producers”. This claim can be passed on along the supply chain,12,,5.5,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
58be4b87-80b7-ea11-a812-000d3a530d85,Mf58c+Gh7vOfYBzP2+2mdiiYzYfsUoMYGTSaOJ+3PlXYE/TI4b5fqOhxRNW8QmmzPiea1U9uYC5Ow50Bua8FHQ==,6/26/2020 7:43,106,6/26/2020 13:13,Vishal Mohan,,6/26/2020,106,,5.6) The organization may only sell products with the ‘FSC Controlled Wood’ claim on sales and delivery documents if the products are raw or semi-finished products and the customer is FSC certified.,12,,5.6,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
5abe4b87-80b7-ea11-a812-000d3a530d85,9JLmbJO2KC74cyaDNuxnQEK0VXMaJeJonIHwGG5Uz+Dk5jjOcgGrQ5LceI9u+6SHJjgMPR2RBwaUSA6ZA7xrGQ==,6/26/2020 7:43,107,6/26/2020 13:13,Vishal Mohan,,6/26/2020,107,CB might need to clarify why the organization is not able to include FSC claim and/or certifcation code in sales and delivery documents,"5.7) If the organization is unable to include the FSC claim and/or certificate code in sales or delivery documents, the required information shall be provided to the customer through supplementary documentation (e.g. supplementary letters). In this case, ",12,,5.7,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
