(Do Not Modify) Standards,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Standard Code,Created On,Approval Date,Approval Date Format,Created By,Created By (Delegate),Date Timestamp,Effective Date,Effective Date Format,First Version Date,First Version Date Format,Keywords,Last Updated Date,Last Updated Date Format,Modified By,Modified By (Delegate),Modified On,Owner,Publication Date,Publication Date Format,Record Created On,Standard Comments,Standard Status,Standard Title,Standard Version,Status,Status Reason,Transition,Transition Date,Transition Date Format
8c9dd2da-77b7-ea11-a812-000d3a53014b,aCnxL04eoPwGPtYvOm6/wIMuQFkLDMIEcWATdlgR8odTdB9C/T3nfsL9ZGk/ozoqVrNQfLj5Q+Q1GwWeI1Lsqg==,6/26/2020 11:58,FSC-STD-01-001,6/26/2020 12:11,22-Jul-15,7/22/2015,Vishal Mohan,,6/26/2020,,,34486,6/1/1994,"std-01-001, p&C, standard",,,Vishal Mohan,,6/26/2020 17:28,Vishal Mohan,,,,"FSC is an international organization that provides a system for voluntary accreditation and independent third-party certification. This system allows certificate holders to market their products and services as the result of environmentally appropriate, socially beneficial and economically viable forest management. FSC also sets standards for the development and approval of FSC Stewardship Standards which are based on the FSC Principles and Criteria. In addition, FSC sets standards for the accreditation of conformity assessment bodies (also known as certification bodies) that certify compliance with FSC's standards. Based on these standards, FSC provides a system for certification for organizations seeking to market their products as FSC certified.",approved,FSC Principles and Criteria (P&C) for Forest Stewardship (FSC-STD-01-001 V5-2),May-20,Active,Active,Yes,,
8e9dd2da-77b7-ea11-a812-000d3a53014b,QLrcOxxVGT8+30a3rLpn1fuamE7pW33lZ5wqPQ7lo1lkxo300hlKGvv90iVx5bPzh3gXHZ3v2wI60m3uMMhUtQ==,6/26/2020 12:03,FSC-STD-01-002,6/26/2020 12:11,,,Vishal Mohan,,6/26/2020,7-Apr-16,4/7/2016,4-Dec-09,12/4/2009,"std-01-002, standard, glossary, STD, standards, psu, policy & standards, documents, FSC-STD-01-002, Glossary of Terms",19-Oct-17,10/19/2017,Vishal Mohan,,6/26/2020 17:33,Vishal Mohan,,,,"This Glossary is a collection of the most frequently used terms and definitions that have been approved and are used in documents of the FSC Normative Framework, published in the English language.",approved,FSC Glossary of Terms,,Active,Active,,,
909dd2da-77b7-ea11-a812-000d3a53014b,sJzwlsT2xg+lEgShSuClfG1tJvsbQ/6ZipZZwQ6VxlL0zUlZv9yorIatFcpqDDTB6ycAdtWMwY5xByUG4YiaKQ==,6/26/2020 12:03,FSC-STD-01-003,6/26/2020 12:11,,,Vishal Mohan,,6/26/2020,1-Jan-15,1/1/2015,15-Sep-04,9/15/2004,"std-01-003, slimf, standard, STD, standards, psu, policy & standards, documents, FSC-STD-01-003, SLIMF Eligibility Criteria",,,Vishal Mohan,,6/26/2020 17:33,Vishal Mohan,,,,This standard shall be used by all FSC-accredited certification bodies and FSC-accredited National Initiatives for the purpose of defining small and low intensity managed forests (SLIMFs) eligible for application of streamlined certification procedures.,approved,SLIMF Eligibility Criteria,Jan-00,Active,Active,,,
929dd2da-77b7-ea11-a812-000d3a53014b,LFvlEkbPEarT0kC/TYz9IBFeQ9l2flLYK2dxkREGkRdMvXr2GP5UXH0VELuuACBkgrfcHkhoWTa91LMXm20HPg==,6/26/2020 12:04,FSC-STD-01-003a,6/26/2020 12:11,,,Vishal Mohan,,6/26/2020,,,22-Mar-04,3/22/2004,"std-01-003a, standard, slimf","April, 2016",4/1/2016,Vishal Mohan,,6/26/2020 17:34,Vishal Mohan,,,,This document provides an up to date list of countries for which the SLIMF eligibility criteria differ from those specified for international use in “FSC-STD-01-003 V1-0 EN: SLIMF Eligibility Criteria” .,approved,SLIMF eligibility criteria addendum,,Active,Active,,,
949dd2da-77b7-ea11-a812-000d3a53014b,f1z48cuILAWT4rUmUdMwl6T896sU6G1D87PNvo7HCs57/pHdhzd/JFbbN0Q8W6+rxLL/StWiIffbRTmn/NJb6A==,6/26/2020 12:05,FSC-STD-20-001,6/26/2020 12:11,9-Nov-15,11/9/2015,Vishal Mohan,,6/26/2020,1-Apr-16,4/1/2016,,,"std-20-001, standard, accreditation, 20-001, cb",,,Vishal Mohan,,6/26/2020 17:35,Vishal Mohan,15-Dec-15,12/15/2015,,"This standard specifies the accreditation requirements for all certification bodies operating FSC accredited certification programs. The objective of this standard is to ensure that these programs are managed in a competent, consistent, impartial, transparent, rigorous, reliable and credible manner, thereby facilitating their acceptance on a national and international basis and so furthering international trade and promoting sustainable development.",approved,General requirements for FSC accredited certification bodies,Apr-00,Active,Active,,01 April 2016 - 31 March 2017,3/31/2017
969dd2da-77b7-ea11-a812-000d3a53014b,/nQNFFHK4zsEex+C0zD1zlDtJRw3i+81xurvKATpbEGS3oGGvJVG7F0DIf0UXuS88lBrRonCucvHypL7eJeOSw==,6/26/2020 12:06,FSC-STD-20-002,6/26/2020 12:11,31-Aug-09,8/31/2009,Vishal Mohan,,6/26/2020,1-Jan-10,1/1/2010,,,"std-20-002, standard, accreditation, STD, standards, psu, policy & standards, documents, FSC-STD-20-002, Structure Content Local Adaptation Generic FSS",,,Vishal Mohan,,6/26/2020 17:36,Vishal Mohan,,,,"This standard defines a hierarchical framework which ensures that all FSC Forest Stewardship Standards can be audited in a consistent manner, providing replicable results. This standard also specifies the requirements for certification bodies to adapt their generic standards to local conditions in countries where there is not yet an FSC approved regional, national or sub-national Forest Stewardship Standard. This standard shall apply to certification body generic certification standards used as the basis for FSC certification.",approved,"Structure, content and local adaptation of Generic Forest Stewardship Standards",Mar-00,Active,Active,,,
989dd2da-77b7-ea11-a812-000d3a53014b,hTgIsFamkX9C8lHeRA9x5ihEcjYLtL+s0kzGUxPaLuLszTpqZC+I98wP5YH+vyWSsVfLO2yGe7KrO52XCWfasQ==,6/26/2020 12:07,FSC-STD-20-006,6/26/2020 12:11,31-Aug-09,8/31/2009,Vishal Mohan,,6/26/2020,1-Jan-10,1/1/2010,,,"std-20-006, standard, accreditation, FSC-STD-20-006, Stakeholder Consultation, STD, standards, psu, policy & standards, documents",,,Vishal Mohan,,6/26/2020 17:37,Vishal Mohan,,,,This standard is designed to give certification bodies and stakeholders more clarity as to the nature and extent of stakeholder consultation required for evaluation of FSC Forest Stewardship Standards.,approved,Stakeholder consultation for forest evaluations,Mar-00,Active,Active,,,
9a9dd2da-77b7-ea11-a812-000d3a53014b,k1Ufme7fkyJwMsJ7b8Z/OUSbxU/BhPZN538VY3nOnyWPKYofNseAK42cynmBo+BxlFDx51LfZm63VtB195thKA==,6/26/2020 12:07,FSC-STD-20-007,6/26/2020 12:11,31-Aug-09,8/31/2009,Vishal Mohan,,6/26/2020,1-Jan-10,1/1/2010,,,"std-20-007, standard, accreditation, FSC-STD-20-007, FM Evaluations, STD, standards, psu, policy & standards, documents",,,Vishal Mohan,,6/26/2020 17:37,Vishal Mohan,,,,"The objective of this standard is to clarify the principles to be followed by certification bodies when sampling FMUs and sites, and integrating the observations to come to a reliable certification decision.",approved,Forest management evaluations,Mar-00,Active,Active,,,
9c9dd2da-77b7-ea11-a812-000d3a53014b,gDEcRaISDtGvO/REWfuXxcGscLiqub7ykJ2DyEh/b6atJt8Od+fI7PYs+hAri1UOSNf+OyIoZEmx0pVvnKGmUA==,6/26/2020 12:08,FSC-STD-20-007a,6/26/2020 12:11,31-Aug-09,8/31/2009,Vishal Mohan,,6/26/2020,1-Jan-10,1/1/2010,31-Aug-09,8/31/2009,"std-20-007a, standard, accreditation, STD, standards, psu, policy & standards, documents, FSC-STD-20-007a, FM Evaluations Forest Cert Reports",,,Vishal Mohan,,6/26/2020 17:38,Vishal Mohan,,,,"The following requirements aim to ensure that the certification body decision making entity has sufficient information on which to base its decisions with respect to conformity with FSC forest stewardship standards, and to help FSC ensure that there is consistency in decision making between different certification bodies.",approved,Forest management evaluations addendum - Forest certification reports,Jan-00,Active,Active,,,
9e9dd2da-77b7-ea11-a812-000d3a53014b,vB5TudFtuZtC5nBZxiTbQagBDFJI5CZKkVF8e1ICALHDgfvqrFN/ux2AfkqXfWB730xyriFkKcVI/D7fpqBSkQ==,6/26/2020 12:09,FSC-STD-20-007b,6/26/2020 12:11,31-Aug-09,8/31/2009,Vishal Mohan,,6/26/2020,1-Jan-10,1/1/2010,31-Aug-09,8/31/2009,"std-20-007b, standard, accreditation, STD, standards, psu, policy & standards, documents, FSC-STD-20-007b, FM Evaluations Public Reports",,,Vishal Mohan,,6/26/2020 17:39,Vishal Mohan,,,,The social impacts of forest management mean that forest management is a social as a well as a technical activity. It is not possible to involve all stakeholders in every forest evaluation. It is therefore essential that forest certification and its results should be open to public scrutiny. This is the only way to demonstrate to all interested or affected parties that the certification decisions are justified and acceptable. It is a basic requirement of the FSC scheme that certification bodies make a summary report of each certified forest operation publicly available.,approved,Forest management evaluations addendum - Forest certification public summary reports,Jan-00,Active,Active,,,
a09dd2da-77b7-ea11-a812-000d3a53014b,mxMjYCjIGd1SC7O6s9DB9jZC4VGqNRLBnFD/f3/WzmaKXQzXsjcGBTbsyJ7M0krF2SvbytqKGGJ4GDND0xF+dA==,6/26/2020 12:11,FSC-STD-20-011,6/26/2020 12:11,7-Aug-19,8/7/2019,Vishal Mohan,,6/26/2020,1-Feb-20,2/1/2020,29-Jun-07,6/29/2007,"std-20-011, standard, accreditation, coc, std-20-011, standard, accreditation, coc, Evaluaciones",,,Vishal Mohan,,6/26/2020 17:41,Vishal Mohan,1-Jan-19,1/1/2019,,The objective of this standard is to provide the requirements to be followed by FSC accredited certification bodies (CBs) when auditing CoC organizations against applicable requirements of the FSC normative framework and integrating the findings to come to a reliable certification decision. This standard thereby aims to reduce the level of subjectivity and increase the consistency between sampling levels implemented by different CBs across different situations.,approved,Chain of Custody Evaluations,Apr-20,Active,Active,Yes,01 February 2020 - 31 January 2021 ,1/31/2021
a29dd2da-77b7-ea11-a812-000d3a53014b,Xu4rtHwH2LpcQdKIar1zXk9ECNvHH9KzbLa4apTxuJELsEN3xPMNQ9g1lE190YE0JdVXi8wskvdc4g6ZQoY0Og==,6/26/2020 12:12,FSC-STD-20-012,6/26/2020 12:11,,,Vishal Mohan,,6/26/2020,14-Sep-07,9/14/2007,18-Mar-07,3/18/2007,"std-20-012, standard, accreditation, cw, STD, standards, psu, policy & standards, documents, FSC-STD-20-012, Evaluation of FSC Controlled Wood",,,Vishal Mohan,,6/26/2020 17:42,Vishal Mohan,,,,This standard is designed to provide a credible guarantee that all forest management units (FMUs) included in the scope of a FSC Controlled Wood certificate comply with the requirements of the Forest Stewardship Council (FSC) Controlled Wood standards for forest management enterprises FSC-STD-30-010 (Version 2-0).,approved,Standard for evaluation of FSC Controlled Wood in Forest Management Enterprises,Jan-20,Active,Active,,,
